Firstdate,Lastdate,Nusers,Nusers_core,Ncore_frac,Nusers_per,Nlinks,Nlinks_core,Nlinks_per,Nlinks_core_per,L/N core,L/N per,L/N core-per
2019-03-17,2019-04-15,1111,48,4.32043204320432,1063,4069,1163,669,2237,24.229166666666668,0.6293508936970837,2.4800443458980044
2019-03-18,2019-04-16,1107,48,4.336043360433604,1059,4154,1194,665,2295,24.875,0.6279508970727101,2.521978021978022
2019-03-19,2019-04-17,1084,44,4.059040590405904,1040,4112,1166,695,2251,26.5,0.6682692307692307,2.549263873159683
2019-03-20,2019-04-18,1064,43,4.041353383458647,1021,3957,1101,670,2186,25.6046511627907,0.6562193927522038,2.5359628770301623
2019-03-21,2019-04-19,1057,42,3.9735099337748343,1015,3878,1086,660,2132,25.857142857142858,0.6502463054187192,2.4906542056074765
2019-03-22,2019-04-20,1020,45,4.411764705882353,975,3776,1117,581,2078,24.822222222222223,0.5958974358974359,2.473809523809524
2019-03-23,2019-04-21,1002,43,4.291417165668663,959,3762,1112,596,2054,25.86046511627907,0.62148070907195,2.504878048780488
2019-03-24,2019-04-22,996,41,4.116465863453815,955,3782,1102,636,2044,26.878048780487806,0.6659685863874345,2.54228855721393
2019-03-25,2019-04-23,1022,47,4.598825831702544,975,3929,1233,587,2109,26.23404255319149,0.602051282051282,2.498815165876777
2019-03-26,2019-04-24,1017,45,4.424778761061947,972,3955,1205,597,2153,26.77777777777778,0.6141975308641975,2.566150178784267
2019-03-27,2019-04-25,1017,44,4.3264503441494595,973,3991,1195,600,2196,27.15909090909091,0.6166495375128469,2.6080760095011875
2019-03-28,2019-04-26,1030,44,4.271844660194175,986,4047,1203,617,2227,27.34090909090909,0.6257606490872211,2.62
2019-03-29,2019-04-27,1042,49,4.702495201535509,993,4094,1275,557,2262,26.020408163265305,0.5609264853977844,2.5763097949886107
2019-03-30,2019-04-28,1030,49,4.757281553398058,981,4084,1281,519,2284,26.142857142857142,0.5290519877675841,2.622273249138921
2019-03-31,2019-04-29,1031,52,5.04364694471387,979,4129,1322,505,2302,25.423076923076923,0.515832482124617,2.627853881278539
2019-04-01,2019-04-30,1043,56,5.369127516778524,987,4246,1404,496,2346,25.071428571428573,0.502532928064843,2.6448703494926717
2019-04-02,2019-05-01,1014,56,5.522682445759369,958,4174,1352,474,2348,24.142857142857142,0.49478079331941544,2.7081891580161477
2019-04-03,2019-05-02,1012,55,5.434782608695652,957,4187,1353,481,2353,24.6,0.5026123301985371,2.7233796296296298
2019-04-04,2019-05-03,984,55,5.5894308943089435,929,4146,1342,466,2338,24.4,0.5016146393972013,2.7635933806146573
2019-04-05,2019-05-04,982,51,5.193482688391039,931,4154,1309,552,2293,25.666666666666668,0.5929108485499462,2.759326113116727
2019-04-06,2019-05-05,992,53,5.342741935483871,939,4158,1287,497,2374,24.28301886792453,0.5292864749733759,2.7636786961583235
2019-04-07,2019-05-06,985,53,5.380710659898477,932,4199,1308,522,2369,24.67924528301887,0.5600858369098712,2.767523364485981
2019-04-08,2019-05-07,973,55,5.65262076053443,918,4112,1316,496,2300,23.927272727272726,0.5403050108932462,2.7186761229314422
2019-04-09,2019-05-08,984,56,5.691056910569106,928,4173,1354,517,2302,24.178571428571427,0.5571120689655172,2.6923976608187132
2019-04-10,2019-05-09,981,58,5.9123343527013255,923,4208,1391,502,2315,23.982758620689655,0.5438786565547129,2.717136150234742
2019-04-11,2019-05-10,989,58,5.864509605662285,931,4323,1437,483,2403,24.775862068965516,0.518796992481203,2.774826789838337
2019-04-12,2019-05-11,979,60,6.128702757916241,919,4331,1510,433,2388,25.166666666666668,0.47116430903155604,2.7448275862068967
2019-04-13,2019-05-12,982,61,6.211812627291242,921,4421,1519,419,2483,24.901639344262296,0.4549402823018458,2.834474885844749
2019-04-14,2019-05-13,988,62,6.275303643724697,926,4475,1527,418,2530,24.629032258064516,0.4514038876889849,2.845894263217098
2019-04-15,2019-05-14,975,64,6.564102564102564,911,4474,1552,355,2567,24.25,0.3896816684961581,2.8810325476992142
2019-04-16,2019-05-15,970,63,6.494845360824742,907,4441,1557,345,2539,24.714285714285715,0.38037486218302097,2.856017997750281
2019-04-17,2019-05-16,956,61,6.380753138075314,895,4402,1513,377,2512,24.80327868852459,0.4212290502793296,2.8840413318025258
2019-04-18,2019-05-17,963,61,6.334371754932502,902,4408,1483,381,2544,24.311475409836067,0.4223946784922395,2.887627695800227
2019-04-19,2019-05-18,991,52,5.247225025227044,939,4597,1383,510,2704,26.596153846153847,0.5431309904153354,3.055367231638418
2019-04-20,2019-05-19,987,48,4.86322188449848,939,4646,1359,599,2688,28.3125,0.6379126730564431,3.0684931506849313
2019-04-21,2019-05-20,993,48,4.833836858006042,945,4643,1364,600,2679,28.416666666666668,0.6349206349206349,3.04778156996587
2019-04-22,2019-05-21,993,49,4.934541792547835,944,4638,1360,588,2690,27.755102040816325,0.6228813559322034,3.0533484676503972
2019-04-23,2019-05-22,988,54,5.465587044534413,934,4602,1392,481,2729,25.77777777777778,0.5149892933618844,3.0491620111731845
2019-04-24,2019-05-23,963,47,4.880581516095535,916,4452,1249,591,2612,26.574468085106382,0.6451965065502183,3.047841306884481
